Download Time:2026/05/18 12:16:32,Search Date:2012/01/02 - 2024/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2024/01/01 21:20:00,37.4690,137.2250,11,4.5,183.9,5.1,4.0,41
2024/01/01 20:35:00,37.1500,136.7600,2,4.5,121.3,3.3,3.6,35
2024/01/01 20:34:00,37.3490,136.9360,10,4.5,86.3,2.3,3.0,46
2024/01/01 19:50:00,37.5090,137.2760,12,4.6,175.4,9.1,4.0,48
2024/01/01 18:45:00,37.5690,137.6300,18,4.5,17.6,0.8,2.3,74
2024/01/01 18:40:00,37.1040,136.6500,6,4.8,348.2,14.9,4.5,69
2024/01/01 18:30:00,37.5490,137.3750,12,4.9,185.4,14.0,4.4,112
2024/01/01 18:08:00,37.5750,137.3850,14,5.8,538.0,37.6,5.6,241
2024/01/01 18:06:00,37.5350,137.4560,13,4.7,76.1,1.9,2.9,46
2024/01/01 18:03:00,37.5890,137.4100,14,5.5,264.1,16.3,4.7,166
2024/01/01 17:48:00,37.8940,137.7030,18,4.8,103.6,1.9,3.0,50
2024/01/01 17:29:00,37.6290,137.5400,16,4.5,119.8,2.2,2.9,64
2024/01/01 17:22:00,37.4620,137.2080,12,4.9,355.6,18.6,4.7,98
2024/01/01 17:17:00,37.4640,137.1610,12,4.7,159.7,7.7,4.0,38
2024/01/01 17:07:00,37.1070,136.6130,0,5.3,232.2,6.6,4.3,93
2024/01/01 17:02:00,37.6150,137.3550,8,5.0,213.5,7.7,3.9,52
2024/01/01 16:56:00,37.2590,136.8600,14,5.8,500.8,35.1,5.4,235
2024/01/01 16:48:00,37.2490,136.8460,13,4.9,179.6,5.4,3.9,91
2024/01/01 16:45:00,37.8540,137.8380,14,4.7,49.3,1.3,2.9,63
2024/01/01 16:42:00,37.4440,137.1930,12,5.0,207.6,9.4,4.3,68
2024/01/01 16:39:00,37.5450,137.4450,13,5.2,238.0,8.3,4.1,82
2024/01/01 16:37:00,37.2620,136.8730,14,4.6,79.6,2.2,3.1,48
2024/01/01 16:32:00,37.3190,136.9750,13,4.7,128.0,3.0,3.3,52
2024/01/01 16:29:00,37.5090,137.0960,10,4.7,194.6,8.6,4.2,33
2024/01/01 16:28:00,37.2240,137.0450,2,4.5,59.3,3.4,3.5,62
2024/01/01 16:18:00,37.1950,136.8210,11,6.1,757.7,53.1,5.4,296
2024/01/01 16:17:00,37.3150,136.9460,12,5.1,11.7,2.4,1.9,61
2024/01/01 16:10:00,37.4920,137.2730,16,7.6,2828.2,152.2,6.6,1050
2024/01/01 16:06:00,37.5070,137.2480,12,5.5,538.2,44.9,5.4,149
2023/12/28 22:16:00,40.5770,142.4940,43,4.5,17.8,0.5,2.1,71
2023/12/28 18:15:00,44.5990,149.1580,30,6.6,9.9,1.2,2.4,104
2023/12/27 07:54:00,41.9170,142.3270,70,4.6,41.2,1.8,2.9,123
2023/12/22 10:46:00,39.9740,142.3620,14,4.9,36.2,2.1,3.2,65
2023/12/22 05:45:00,35.2390,141.1180,9,5.1,5.9,1.3,2.4,32
2023/12/22 01:11:00,35.2350,141.1400,10,4.8,7.7,0.9,2.1,39
2023/12/21 23:04:00,35.2300,141.1530,3,5.4,8.9,1.9,2.9,62
2023/12/21 20:29:00,35.2300,141.1510,11,4.8,4.7,0.5,1.6,27
2023/12/09 16:03:00,34.5070,140.2630,64,4.6,66.2,2.4,3.2,60
