Download Time:2026/07/17 12:45:55,Search Date:2013/06/02 - 2016/01/01 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2016/01/01 03:53:00,39.6300,142.1050,48,3.9,35.1,0.7,1.9,47
2016/01/01 00:47:00,35.1120,134.2350,15,4.0,69.9,1.4,2.7,74
2015/12/29 02:12:00,32.5070,129.8570,13,3.4,17.4,0.3,1.6,18
2015/12/28 20:07:00,33.6430,130.2820,12,3.9,27.4,0.5,1.9,42
2015/12/26 23:20:00,35.5080,139.8500,23,3.4,15.6,0.6,2.0,35
2015/12/26 22:12:00,35.5130,139.8480,26,3.1,14.6,0.3,1.4,25
2015/12/26 01:42:00,39.6730,141.4720,14,4.4,289.4,3.8,3.0,123
2015/12/25 17:02:00,37.0550,140.6970,17,3.5,26.6,0.5,1.7,15
2015/12/25 15:02:00,39.9950,140.5750,3,3.6,16.8,0.3,2.0,31
2015/12/25 11:20:00,33.5580,134.4750,34,4.2,63.6,1.0,2.6,55
2015/12/23 10:00:00,33.3120,131.3770,9,2.9,22.9,0.7,2.1,6
2015/12/23 09:33:00,36.3530,140.9370,47,3.9,14.4,0.4,1.9,39
2015/12/22 21:18:00,36.1780,140.0050,51,3.7,36.1,0.4,1.7,66
2015/12/22 20:12:00,40.0700,141.8280,7,3.5,6.4,0.2,1.1,19
2015/12/22 07:40:00,36.7620,140.5950,6,3.4,43.2,0.9,2.2,14
2015/12/22 07:18:00,36.7630,140.5850,9,3.9,118.3,3.3,3.4,57
2015/12/22 01:59:00,38.1880,141.8350,60,4.2,39.1,0.9,2.3,103
2015/12/22 00:44:00,37.8330,141.3130,66,3.8,11.8,0.3,1.6,40
2015/12/21 17:00:00,36.8570,141.2400,28,4.2,57.3,1.3,2.8,35
2015/12/21 12:07:00,32.4480,132.0230,22,3.9,37.4,0.6,1.9,18
2015/12/20 22:37:00,43.4880,144.0680,0,2.5,28.6,0.4,1.6,3
2015/12/20 12:45:00,28.3000,129.4330,27,3.4,12.5,0.2,1.1,2
2015/12/19 20:48:00,34.6520,134.2580,12,3.8,71.0,1.1,2.0,53
2015/12/19 03:41:00,38.7970,141.5920,71,4.1,26.2,0.8,2.4,77
2015/12/18 23:13:00,36.7070,138.1580,8,2.5,16.2,0.3,1.1,3
