ID,Origin_Time,Magnitude,Location_Name,Latitude,Longitude,Max_Height,Num_Runups,Total_Death_Description,Total_Injuries,Total_Injuries_Description,Total_Damage($Mil),Total_Damage_Description
1,2000-07-01 07:01:00,6.1,"KOZU-SHIMA ISLAND, HONSHU",34.221,139.131,0.07,4.0,1.0,,3.0,,1.0
2,2000-07-15 01:30:00,6.1,HONSHU: S COAST,34.319,139.26,0.07,1.0,,10.0,1.0,,1.0
3,2000-07-30 12:25:00,6.5,HONSHU: S COAST,33.901,139.376,0.14,1.0,,1.0,1.0,,1.0
5,2003-09-25 19:50:00,8.3,HOKKAIDO ISLAND,41.815,143.91,4.4,268.0,1.0,849.0,3.0,90.0,4.0
6,2003-10-31 01:06:00,7.0,E. HONSHU ISLAND,37.812,142.619,0.32,4.0,,,,,
7,2004-09-05 10:07:00,7.2,SOUTH COAST HONSHU ISLAND,33.07,136.618,0.63,12.0,,4.0,1.0,,1.0
8,2004-09-05 14:57:00,7.4,SOUTH COAST HONSHU ISLAND,33.184,137.071,0.93,24.0,,40.0,1.0,,1.0
9,2004-11-28 18:32:00,7.0,HOKKAIDO ISLAND,43.006,145.119,0.12,2.0,,24.0,1.0,,2.0
10,2005-01-19 06:11:00,6.6,E. HONSHU ISLAND,34.064,141.491,0.39,11.0,,,,,
11,2005-08-16 02:46:00,7.2,E. COAST HONSHU ISLAND,38.276,142.039,0.05,1.0,,56.0,2.0,,1.0
12,2005-11-14 21:38:00,7.0,E. COAST HONSHU ISLAND,38.107,144.896,0.42,1.0,,,,,
14,2006-10-23 21:17:00,6.4,"IZU ISLANDS, JAPAN",29.351,140.27,0.16,5.0,,,,,
15,2007-03-25 00:41:00,6.7,HONSHU: W COAST,37.336,136.588,0.1,6.0,1.0,359.0,3.0,,3.0
16,2007-07-16 01:13:00,6.6,HONSHU: W COAST,37.57,138.478,,1.0,1.0,2346.0,4.0,12500.0,4.0
17,2008-06-13 23:43:00,6.9,"ARATOZAWA, JAPAN",39.03,140.881,2.5,0.0,1.0,357.0,3.0,,3.0
18,2008-07-19 02:39:00,6.9,OFF EAST COAST OF HONSHU ISLAND,37.552,142.214,0.2,3.0,,,,,
19,2008-09-11 00:20:00,6.8,HOKKAIDO ISLAND,41.892,143.754,0.09,1.0,1.0,77.0,2.0,,3.0
20,2009-08-10 20:07:00,6.4,HONSHU: S COAST,34.743,138.264,0.6,5.0,1.0,123.0,3.0,,3.0
21,2010-02-26 20:31:00,7.0,RYUKYU ISLANDS,25.93,128.425,0.1,2.0,,,,,
22,2010-12-21 17:19:00,7.4,BONIN ISLANDS,26.901,143.698,0.13,4.0,,,,,
23,2011-03-09 02:45:00,7.3,HONSHU ISLAND,38.435,142.842,0.6,24.0,,,,,
24,2011-03-09 21:24:00,6.3,OFF SANRIKU,38.296,142.808,0.06,1.0,,,,,
25,2011-03-11 05:46:00,9.1,HONSHU ISLAND,38.297,142.373,39.26,6427.0,4.0,6167.0,4.0,220136.6,4.0
26,2011-04-07 14:32:00,7.1,E. COAST HONSHU ISLAND,38.276,141.588,0.08,1.0,1.0,132.0,3.0,,1.0
27,2011-07-10 00:57:00,7.0,OFF EAST COAST OF HONSHU ISLAND,38.034,143.264,0.09,3.0,,,,,
28,2012-03-14 09:08:00,6.9,HOKKAIDO ISLAND,40.887,144.944,0.2,2.0,,,,,
29,2012-12-07 08:18:00,7.2,OFF EAST COAST OF HONSHU ISLAND,37.89,143.949,1.0,3.0,,11.0,1.0,,
30,2013-10-25 17:10:00,7.1,E. COAST HONSHU ISLAND,37.156,144.661,0.4,9.0,,1.0,1.0,,
31,2014-07-11 19:23:00,6.5,SANRIKU,37.005,142.453,0.2,6.0,,,1.0,,1.0
32,2015-02-16 23:06:00,6.7,HONSHU,39.856,142.881,0.27,3.0,,,,,
34,2015-11-13 20:51:00,6.7,JAPAN,31.001,128.873,0.3,1.0,,,,,
35,2016-08-20 09:01:00,6.0,SANRIKU,40.394,143.68,0.01,0.0,,,,,
36,2016-11-21 20:59:00,6.9,E. COAST HONSHU ISLAND,37.393,141.387,1.44,44.0,,,1.0,,1.0
42,2019-06-18 13:22:00,6.4,NIIGATA,38.646,139.472,0.11,8.0,,28.0,1.0,,2.0
43,2021-02-13 14:07:00,7.1,OFF FUKUSHIMA PREFECTURE,37.745,141.749,0.1,4.0,1.0,186.0,3.0,7700.0,4.0
44,2022-03-16 14:36:00,7.3,OFF FUKUSHIMA PREFECTURE,37.713,141.579,0.31,11.0,1.0,247.0,3.0,8800.0,4.0
45,2023-05-05 05:42:00,6.2,"NOTO PENINSULA, JAPAN",37.54,137.305,0.1,2.0,1.0,34.0,1.0,,2.0
49,2024-01-01 07:10:00,7.5,HONSHU: W COAST,37.487,137.271,11.34,528.0,3.0,1393.0,4.0,17600.0,4.0
50,2024-08-08 07:42:00,7.1,HYUGANADA SEA,31.719,131.527,0.5,21.0,,14.0,1.0,,1.0
52,2025-01-13 12:19:00,6.8,HYUGANADA SEA,31.806,131.565,0.23,9.0,,,,,
53,2025-11-09 08:03:00,6.8,SANRIKU,39.396,143.411,0.2,4.0,,,,,
54,2025-12-08 14:15:00,7.6,OFF NORTHEAST COAST HONSHU,41.003,142.171,0.7,19.0,,46.0,2.0,,2.0
55,2025-12-12 02:44:00,6.7,OFF NORTHEAST COAST HONSHU,40.918,142.745,0.2,3.0,,,,,
56,2026-04-20 07:53:00,7.4,OFF NORTHEAST COAST HONSHU,39.953,143.046,,19.0,,10.0,1.0,,
