Download Time:2026/05/18 12:14:26,Search Date:2000/01/01 - 2012/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2012/01/01 14:28:00,31.4230,138.5680,397,7.0,145.8,15.6,4.4,704
2011/12/31 08:11:00,36.8520,140.5760,8,4.5,273.2,4.8,3.8,137
2011/12/26 02:41:00,35.8950,140.8400,41,4.5,23.4,1.0,2.0,37
2011/12/22 05:10:00,36.9740,141.1630,30,4.6,44.3,1.6,3.0,180
2011/12/21 11:06:00,39.6290,142.1140,49,4.7,126.7,3.5,3.1,111
2011/12/20 15:26:00,40.0520,142.7020,29,5.0,17.9,1.3,2.7,123
2011/12/19 16:01:00,35.5550,141.0480,36,4.6,24.3,1.4,2.6,46
2011/12/19 13:13:00,43.6040,147.9190,53,4.7,10.6,0.3,1.6,28
2011/12/18 18:02:00,35.5670,141.0250,38,4.8,19.3,1.3,2.4,46
2011/12/18 15:08:00,38.6490,142.1570,42,4.5,22.9,0.6,2.1,80
2011/12/14 13:01:00,35.3520,137.2460,49,5.1,136.0,4.3,3.7,365
2011/12/12 14:13:00,35.9270,140.8300,18,4.6,126.5,3.1,3.1,146
2011/12/12 04:51:00,36.2070,140.9350,38,4.6,125.0,2.9,3.4,101
2011/12/11 10:22:00,28.1260,129.5450,29,5.5,119.2,3.4,3.4,8
2011/12/10 15:08:00,38.6220,141.8160,45,4.7,288.2,4.0,3.7,166
2011/12/10 04:43:00,46.7580,144.8940,431,5.7,14.2,0.8,2.5,119
2011/12/08 07:11:00,36.2970,141.0700,49,4.7,21.7,0.5,2.1,98
2011/12/08 05:43:00,34.5400,140.2680,62,4.5,28.2,2.2,3.0,100
2011/12/06 06:50:00,43.3950,146.9120,39,4.5,11.4,0.3,1.9,14
2011/12/05 10:01:00,36.2420,141.9750,48,5.2,15.4,0.5,2.2,91
2011/12/03 05:55:00,35.3490,140.3250,22,5.2,226.5,11.0,4.4,212
2011/12/02 09:50:00,38.1820,141.7790,56,4.6,51.1,1.1,2.6,144
2011/12/01 22:24:00,36.5590,137.7430,1,4.6,77.0,3.8,3.3,44
2011/12/01 20:20:00,44.4630,146.2660,147,4.7,7.2,0.3,1.5,35
2011/11/26 10:43:00,38.8420,142.1160,44,4.5,63.3,0.8,2.5,67
2011/11/25 04:35:00,34.8670,132.8960,12,4.7,192.0,5.8,4.1,172
2011/11/24 19:25:00,41.7470,142.8910,43,6.2,185.2,9.6,4.4,342
2011/11/24 04:24:00,37.3270,141.6150,45,6.1,104.8,3.7,3.6,425
2011/11/21 19:16:00,34.8690,132.8960,12,5.4,364.2,18.8,5.0,301
2011/11/20 10:26:00,36.7170,140.6250,4,4.8,164.8,6.6,3.7,148
2011/11/20 10:23:00,36.7070,140.5900,9,5.3,582.8,13.4,4.8,276
2011/11/20 04:27:00,35.5220,140.9460,43,4.8,12.6,0.9,2.1,74
2011/11/20 02:37:00,37.7650,141.7760,48,4.6,51.6,1.7,2.9,112
2011/11/18 03:58:00,35.9300,136.3400,7,4.8,153.7,3.4,3.2,237
2011/11/17 18:42:00,35.8150,141.9010,20,5.1,13.3,0.7,2.3,29
2011/11/17 17:34:00,38.8040,142.0390,47,4.7,92.0,1.6,2.7,104
2011/11/08 11:59:00,27.2930,125.7400,217,7.0,72.1,4.5,3.6,81
2011/11/07 23:42:00,36.8950,139.3830,3,4.5,123.8,3.0,3.4,52
2011/11/04 11:59:00,36.0040,141.3310,32,4.9,23.9,0.9,2.3,82
2011/11/03 19:34:00,35.9170,140.1450,62,4.9,96.7,4.4,3.8,269
2011/11/01 05:59:00,42.7470,145.3360,47,4.5,40.3,1.2,2.9,46
2011/10/31 08:08:00,38.8270,142.4660,34,4.5,21.3,0.6,2.4,75
2011/10/30 12:23:00,25.2130,122.9940,209,5.5,11.7,0.3,1.6,5
2011/10/29 15:24:00,38.2100,142.0320,51,4.9,75.5,1.8,3.0,157
2011/10/26 04:34:00,32.1710,138.3860,45,4.9,2.8,0.1,0.6,10
2011/10/26 02:08:00,36.9590,141.1500,30,5.0,70.0,3.6,3.5,238
